s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
32.28347891,-10.47681200,2.04584500,-2.85869300,1.10322334,1.6490,0.0
32.38347380,-10.57115000,2.01268900,-2.82458400,0.41932404,2.6748,0.0
32.48345726,-10.66678400,1.98352000,-2.84874600,0.06391647,6.8510,0.0
32.58344338,-10.76260500,1.95496200,-2.80256500,0.98792393,1.7426,0.0
32.68334894,-10.85506800,1.91712400,-2.67914700,1.48144480,1.4230,0.0
32.78317971,-10.94087200,1.86609600,-2.48702200,2.36460682,1.1264,0.0
32.88279906,-11.01219000,1.79654200,-2.24611100,2.44906995,1.1068,0.0
32.98267097,-11.06464900,1.71155700,-2.05986900,1.27879336,1.5317,0.0
33.08262923,-11.10587900,1.62049800,-1.95422400,0.83460234,1.8959,0.0
33.18261284,-11.13938300,1.52629500,-1.88131400,0.62364860,2.1933,0.0
33.28260164,-11.16695200,1.43018200,-1.83234000,0.35598406,2.9030,0.0
33.38259939,-11.19108500,1.33314000,-1.79674300,0.35598848,2.9030,0.0
33.48257733,-11.21174500,1.23532000,-1.72807200,1.01762778,1.7170,0.0
33.58250630,-11.22235600,1.13595600,-1.63548200,0.83392340,1.8967,0.0
33.68249075,-11.22465600,1.03599800,-1.57583200,0.35938876,2.8892,0.0
33.78248411,-11.22336300,0.93601300,-1.52274800,0.70258087,2.0664,0.0
33.88242868,-11.21505900,0.83641400,-1.43376700,1.07698968,1.6690,0.0
33.98238100,-11.19609600,0.73827700,-1.35792300,0.43987208,2.6115,0.0
34.08237920,-11.17282600,0.64102400,-1.33685600,0.01831249,8.0000,0.0
34.18237796,-11.14973400,0.54372800,-1.36174000,0.47949715,2.5013,0.0
34.28234221,-11.13133800,0.44547100,-1.40902400,0.46618214,2.5368,0.0
34.38233830,-11.11753600,0.34643200,-1.41183000,0.41006392,2.7048,0.0
